"created_at","Product","Cost","Home","Bill Item","Bills","Payoff","Entertainment","Ciger","Groceries","Mortgage","Petrol","Food","Driving","Toll","Total_Expenses"
"01/03/2014","nill",0,0,"food",12,0,16.5,0,0,0,0,0,0,0,28.5
"02/03/2014","nill",0,0,"Health Insurance",48.7,0,0,0,29.28,0,0,0,0,0,77.98
"03/03/2014","nill",0,0,"nill",0,0,0,0,0,791,0,22,0,6.11,819.11
"04/03/2014","nill",0,0,"food",40,0,0,0,0,0,0,22,0,6.11,68.11
"05/03/2014","nill",0,0,"nill",0,0,0,0,0,0,116,22,0,6.11,144.11
"06/03/2014","Tv",0,1118,"Optus",146.46,0,0,0,0,0,0,25,0,6.11,1295.57
"07/03/2014","rashed vai gift",96,0,"nill",0,120,0,15.4,0,0,0,22,0,6.11,259.51
"08/03/2014","Tv mount",0,185,"nill",0,0,0,0,90,0,0,0,0,0,275
"09/03/2014","Tv Setup",0,200,"nill",0,0,30,0,0,0,0,0,0,0,230
"10/03/2014","nill",0,0,"nill",0,0,0,0,0,791,0,22,0,6.11,819.11
"11/03/2014","lia asos",50,0,"Water bill",376.1,0,0,0,0,0,0,22,0,6.11,454.21
"12/03/2014","nill",0,0,"food",24,0,0,0,0,0,0,22,0,6.11,52.11
"13/03/2014","nill",0,20,"Lawn mow",30,0,0,0,0,0,0,22,0,6.11,78.11
"14/03/2014","nill",0,0,"nill",0,0,72,0,0,0,0,22,0,6.11,100.11
"15/03/2014","lia",23,27,"nill",0,0,0,0,0,0,0,0,0,0,50
"16/03/2014","nill",0,0,"nill",0,0,0,0,15,0,91,0,0,0,50
"17/03/2014","nill",0,0,"Phone",26,0,0,0,0,791,0,22,0,6.11,845.11
"18/03/2014","nill",0,0,"nill",0,0,0,0,0,0,0,22,0,6.11,28.11
"19/03/2014","Lia tops/shampoo",30,0,"nill",0,0,0,0,0,0,0,22,0,6.11,58.11
"20/03/2014","me tShirt/Perfume",105,0,"nill",0,0,30.05,0,0,0,0,22,0,6.11,163.16
"21/03/2014","lia massage",45,0,"nill",0,0,0,0,0,0,0,22,0,6.11,73.11
"22/03/2014","BD gift",180,0,"nill",0,0,37,0,0,0,0,0,0,0,217
"23/03/2014","Me Haircut",25,0,"Hom INS",72,0,0,0,174.83,0,0,0,0,0,271.83
"24/03/2014","outdoor light",90,0,"Food",28,0,0,0,0,791,10,0,0,0,919
"25/03/2014","Lia bag n etc",250,0,"Internet",99,0,0,0,0,0,10,0,0,0,359
"26/03/2014","nill",0,0,"nill",0,0,0,0,0,0,0,22,0,6.11,28.11
"27/03/2014","rene gift",35,0,"calling card",20,0,22,0,0,0,0,22,0,6.11,105.11
"28/03/2014","nill",0,0,"nill",0,0,0,0,0,0,100,9,0,6.11,115.11
"29/03/2014","nill",0,0,"Foxtel",50,0,0,0,0,0,0,0,0,0,50
"30/03/2014","BD GIFT",367,0,"nill",0,0,0,0,0,0,0,0,0,0,367
"31/03/2014","lia med",20,0,"nill",0,0,0,0,15,791,0,22,0,6.11,854.11
